event_type,n,momentum_rate,avg_range,avg_volume,avg_dist_midnight,reversal_rate,edge,direction
US Prelim UoM Inflation Expectations,10,0.7,0.22017471756966994,3100.0,0.37944289269866055,0.30000000000000004,19.999999999999996,MOMENTUM
US Treasury Currency Report,6,0.3333333333333333,0.08825369743911159,1829.5,0.3682436532793618,0.6666666666666667,16.666666666666668,REVERSAL
US 30-y Bond Auction,3,0.3333333333333333,0.14531416172318642,2664.6666666666665,0.11895063785752757,0.6666666666666667,16.666666666666668,REVERSAL
US 10-y Bond Auction,3,0.6666666666666666,0.09937234174846304,1042.6666666666667,-0.14278734497931422,0.33333333333333337,16.666666666666664,MOMENTUM
US Presidential Election,3,0.6666666666666666,0.07169364523511525,1233.3333333333333,0.816947319270663,0.33333333333333337,16.666666666666664,MOMENTUM
US Final GDP q/q,32,0.65625,0.10030484858510005,738.9375,0.07863797222270091,0.34375,15.625,MOMENTUM
US Fed Chairman Bernanke Testifies,29,0.6551724137931034,0.1603962740962401,1781.7586206896551,0.326509838273302,0.3448275862068966,15.517241379310342,MOMENTUM
US Prelim GDP q/q,57,0.3508771929824561,0.12828477165404698,696.4561403508771,0.1050407915969775,0.6491228070175439,14.912280701754387,REVERSAL
US Existing Home Sales,53,0.6415094339622641,0.1618325279061383,1854.2075471698113,-0.0742729192811984,0.3584905660377359,14.150943396226412,MOMENTUM
US Core PPI m/m,36,0.6388888888888888,0.34370255648023146,2513.6666666666665,-0.08266661688138205,0.36111111111111116,13.888888888888884,MOMENTUM
US FOMC Press Conference,90,0.6333333333333333,0.12714962095829366,1366.3444444444444,0.24191136909289584,0.3666666666666667,13.33333333333333,MOMENTUM
US CPI m/m,115,0.6173913043478261,0.35457903739576957,2206.4695652173914,0.033999781868221356,0.3826086956521739,11.739130434782608,MOMENTUM
US Advance GDP q/q,62,0.3870967741935484,0.20077760280193926,1153.3225806451612,0.05601044403499678,0.6129032258064516,11.290322580645162,REVERSAL
US CPI y/y,172,0.6104651162790697,0.2726589371409167,1622.8139534883721,0.03863857360742746,0.38953488372093026,11.046511627906973,MOMENTUM
US TIC Long-Term Purchases,23,0.6086956521739131,0.04742796990442481,142.17391304347825,0.003228736833337571,0.3913043478260869,10.869565217391308,MOMENTUM
US Building Permits,97,0.6082474226804123,0.08461388304595832,338.50515463917526,0.05569029811363282,0.3917525773195877,10.824742268041232,MOMENTUM
US Fed Chair Powell Testifies,33,0.6060606060606061,0.18840091765417857,3035.212121212121,-0.07851574198810303,0.3939393939393939,10.606060606060607,MOMENTUM
US Fed Announcement,15,0.4,0.4723292574424288,2343.866666666667,0.43926673276414263,0.6,9.999999999999998,REVERSAL
US Bank Holiday,120,0.6,0.02628940866253432,100.68333333333334,0.04364623242865983,0.4,9.999999999999998,MOMENTUM
